"ASIN","Product.Name","Brand","Price","Monthly.Units.Sold","Daily.Units.Sold","Monthly.Revenue","Date.First.Available","Net.Revenue","Star.Rating","Reviews","Amazon.Fees","BSR","LQS","Seller.Type","Sellers","Category","Product.Tier","Dimensions","Weight","Link"
"B0DBX5VKLH","Lenovo Yoga Pro 9i 16'' Laptop (2024 Model) Intel 14th Gen Ultra 9 185H, NVIDIA GeForce RTX 4060, 32GB RAM, 1TB NVMe SSD, 16'' 3.2K Mini-Led 165Hz 1200-nits, Windows 11 Pro, Luna Grey, 83DN0008US","Lenovo","$2,099.95","68","1","$142,797","07/31/2024","$1,919",4.1,"5","$8.69","19,891",6,"FBA",1,"Computers & Accessories","Large standard","13 x 21 x 3 in","4.5 lb","https://www.amazon.com/dp/B0DBX5VKLH?th=1&psc=1"
"B0B287Y6GR","CRZ YOGA Womens ButterLuxe Biker Shorts 6 Inches - High Waisted Workout Running Volleyball Spandex Yoga","CRZ YOGA","$24.00","24,026","957","$576,624","06/23/2024","$14.86",4.7,"1,798","$9.14","162",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","7.244 x 9.094 x 0.984 in","0.22 lb","https://www.amazon.com/dp/B0B287Y6GR?th=1&psc=1"
"B0C9LQPCW9","Stretching Strap Yoga Straps for Physical Therapy, 10 Loops Non-Elastic Stretch Band for Pilates, Flexibility, Exercise and Gymnastics","Abiarst","$5.99","9,226","297","$55,264","06/27/2023","$1.72",4.7,"2,288","$4.27","355",8,"FBA",1,"Sports & Outdoors","Small standard","5.31 x 0.43 x 10.28 in","0.1 kg","https://www.amazon.com/dp/B0C9LQPCW9?th=1&psc=1"
"B0BY8HMK7W","CRZ YOGA Mid Waisted Dolphin Athletic Shorts for Women 4' Lightweight High Split for Gym Workout with Liner Quick Dry","CRZ YOGA","$28.00","11,217","455","$314,076","05/30/2024","$17.82",4.5,"1,953","$10.18","972",7,"FBA",2,"Clothing, Shoes & Jewelry","Large standard","7.717 x 9.724 x 1.693 in","0.265 lb","https://www.amazon.com/dp/B0BY8HMK7W?th=1&psc=1"
"B09WVC526G","Trideer Stretching Strap Yoga Strap Physical Therapy for Home Workout, Exercise, Pilates and Gymnastics, 10 Loops Non-Elastic Stretch Bands with Aesthetic Packaging for Women & Men","Trideer","$5.99","14,411","449","$86,322","09/05/2022","$1.72",4.7,"5,895","$4.27","161",8,"FBA",1,"Sports & Outdoors","Small standard","5.24 x 11.06 x 0.55 in","0.08 kg","https://www.amazon.com/dp/B09WVC526G?th=1&psc=1"
"B0BJTGLYTT","Sand Cloud Turkish Beach Towel - Sand Free - 100% Organic Turkish Cotton Yarn - Quick Dry Towel for Beach, Picnic, Blanket or Bath Towel - As Seen on Shark Tank - Marine Life (Swirl Turtle)","Sand Cloud","$54.00","2,327","89","$125,658","10/19/2022","$41.31",4.8,"1,073","$12.69","13,711",8,"FBA",2,"Home & Kitchen","Small standard","5.16 x 11.42 x 4.17 in","360 g","https://www.amazon.com/dp/B0BJTGLYTT?th=1&psc=1"
"B07VP9M6QY","Sand Cloud Turkish Beach Towel - Sand Proof - 100% Certified Organic Turkish Towel - Quick Dry Towel for Beach, Picnic, Blanket or Bath Towel - As Seen on Shark Tank - Gocek (Denim)","Sand Cloud","$44.00","2,129","59","$93,676","07/22/2019","$33.94",4.6,"1,169","$14.06","21,835",8,"FBA",2,"Home & Kitchen","Large standard","6.97 x 10.87 x 4.02 in","1.01 lb","https://www.amazon.com/dp/B07VP9M6QY?th=1&psc=1"
"B0CDVX2R43","JOYSPELS Smooth Feeling Flare Maternity Leggings Over The Belly with Pockets Soft Bootcut Pregnancy Yoga Pants","JOYSPELS","$25.65","1,158","41","$29,703","08/07/2023","$17.57",4.4,"595","$8.08","30,956",8,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","7.87 x 7.87 x 0.39 in","4.23 oz","https://www.amazon.com/dp/B0CDVX2R43?th=1&psc=1"
"B000C9LZRQ","Hugger Mugger Standard Yoga Bolster - Firm, Supportive, Handmade, Durable","Hugger Mugger","$97.95","335","11","$32,813","11/10/2005","$74.71",4.7,"1,347","$23.24","25,258",5,"FBA",1,"Sports & Outdoors","Large standard","12 x 26 x 6 in","5 lb","https://www.amazon.com/dp/B000C9LZRQ?th=1&psc=1"
"B0B3HVV375","CHRLEISURE Leggings with Pockets for Women, High Waisted Tummy Control Workout Yoga Pants","CHRLEISURE","$55.99","11,126","318","$622,945","04/01/2022","$38.96",4.6,"23,402","$17.03","1,932",5,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","10.87 x 15.83 x 4.06 in","2.599 lb","https://www.amazon.com/dp/B0B3HVV375?th=1&psc=1"
"B0BN46MC3B","Organic Linen Eye Pillow - Specially Designed for Relaxation, Yoga, Stress Relief - Microwavable Heating Pad & Cool Compress - Made in USA - Gifts for Meditation - (Unscented)","Sacksy Thyme","$23.50","579","19","$13,607","11/22/2022","$14.84",4.5,"109","$8.66","14,349",7,"FBA",1,"Sports & Outdoors","Large standard","8.07 x 5.39 x 1.42 in","7.83 oz","https://www.amazon.com/dp/B0BN46MC3B?th=1&psc=1"
"B08RN6XZN3","Weighted Lavender Eye Mask for Sleeping, Relaxation, Meditation & Self-Care  Aromatherapy Lavender Eye Pillow  Calming Spa Gift for Women, Men, Mom, Dad","Solayman's","$24.74","296","16","$7,323","12/30/2020","$15.89",4.4,"823","$8.85","50,472",8,"FBA",1,"Health & Household","Large standard","1 x 9 x 4 in","7.1 oz","https://www.amazon.com/dp/B08RN6XZN3?th=1&psc=1"
"B0CNR8QNQD","Pilates Yoga Socks with Grips for Women - Crew Length Ballet Barre Socks - Sticky Workout Hospital Socks","Ivyhouse","$14.99","1,748","55","$26,203","11/20/2023","$6.76",4.6,"491","$8.23","22,395",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","7.68 x 10.51 x 1.54 in","0.461 lb","https://www.amazon.com/dp/B0CNR8QNQD?th=1&psc=1"
"B0881XK679","Florensi Back Roller - Back Stretcher, Back Cracker, Yoga Wheel, Deep Tissue Massager - for Back Pain Relief, Back Cracking, Yoga Stretching, Trigger Point Therapy - Foam Padded Rollers","Florensi","$49.99","78","2","$3,899","02/27/2020","$33.30",4.4,"2,270","$16.69","95,277",7,"FBA",1,"Sports & Outdoors","Large standard","13.268 x 13.5 x 5.591 in","3.11 kg","https://www.amazon.com/dp/B0881XK679?th=1&psc=1"
"B07WHZYQT5","Yoga Vitality - Chair Yoga For Seniors, Older Adults, and Absolute Beginners | Made For Healthy Aging, Improved Mobility, Joint Health, Balance, Pain Relief, and Injury Prevention | 4 Levels","Rated: Unrated Format: DVD","$29.99","","","","08/14/2019","$21.35",4.4,"1,147","$8.64","331",6,"FBA",5,"Movies & TV","Small standard","7.48 x 5.31 x 0.63 in","3.21 oz","https://www.amazon.com/dp/B07WHZYQT5?th=1&psc=1"
"B0D4YWFV5N","Lenovo Yoga 7 83DL 2-in-1 Laptop 16' WUXGA IPS Touchscreen 12-Core Intel Ultra 7 155U 16GB LPDDR5 1TB SSD Intel Graphics Thunderbolt 4 Wi-Fi 6E Backlit Keyboard Fingerprint Win11 Pro w/ONT 32GB USB","Lenovo","$874.13","20","","$17,483","05/22/2024","$803.21",NA,"","$70.92","31,215",8,"FBM",5,"Computers & Accessories","Large standard","14 x 4 x 22 in","4.39 lb","https://www.amazon.com/dp/B0D4YWFV5N?th=1&psc=1"
"B07HQM6NH8","THE GYM PEOPLE Thick High Waist Yoga Pants with Pockets, Tummy Control Workout Running Yoga Leggings for Women","THE GYM PEOPLE","$24.99","32,362","1,126","$808,726","06/12/2024","$14.88",4.3,"59,883","$10.11","99",7,"FBA",2,"Clothing, Shoes & Jewelry","Large standard","8.214 x 10.71 x 1.36 in","0.67 lb","https://www.amazon.com/dp/B07HQM6NH8?th=1&psc=1"
"B0D16Y8CZ5","Small Exercise Ball, 9 Inch Mini Pilates Ball, Anti Burst and Slip Resistant Mini Yoga Ball for Stability, Fitness, Physical Therapy, Stretching & Core Strength Workout at Home Gym & Office","kisnbld","$7.59","8,918","302","$67,688","04/08/2024","$2.99",4.4,"483","$4.60","345",7,"FBA",1,"Sports & Outdoors","Small standard","5.12 x 6.61 x 1.14 in","0.14 kg","https://www.amazon.com/dp/B0D16Y8CZ5?th=1&psc=1"
"B08G1JVJDR","Hatha Yoga Extra Thick TPE Yoga Mat - 72'x 32' Thickness 1/2 Inch -Eco Friendly SGS Certified - With High Density Anti-Tear Exercise Bolster For Home Gym Travel & Floor Outside","Hatha yoga","$58.88","1,228","45","$72,305","08/16/2020","$41.82",4.6,"1,405","$17.06","5,547",7,"FBA",1,"Sports & Outdoors","Large standard","8 x 32 x 7.5 in","4 lb","https://www.amazon.com/dp/B08G1JVJDR?th=1&psc=1"
"B0CFBFXWM9","Back Roller Wheel- Foam Padded Back Stretcher Wheel with Center Spine Cradle-Back Pain & Stretching- Deep Tissue Massage Roller (Set of Four)","YOGI GRIPS","$56.55","758","22","$42,865","08/12/2023","$39.04",4.6,"198","$17.51","12,492",7,"FBA",1,"Sports & Outdoors","Large standard","10 x 5 x 10 in","6.35 lb","https://www.amazon.com/dp/B0CFBFXWM9?th=1&psc=1"
"B08QRBGRY6","Lightzz Yoga Lamp, 3D Yoga Night Light Gifts for Women Yoga Lovers, Birthday Anniversary Ideal Gifts with USB Power Warm Color Wood Yoga Room Decor","lightzz","$17.99","101","","$1,817","12/15/2020","$11.45",4.1,"383","$8.54","92,080",7,"FBA",1,"Tools & Home Improvement","Large standard","6.614 x 8.976 x 1.614 in","0.529 lb","https://www.amazon.com/dp/B08QRBGRY6?th=1&psc=1"
"B0CZX85292","100% Indian Cotton Yoga Blanket - Perfect for Restorative Yoga & Meditation, Lavender","Wellrox","$36.25","43","2","$1,559","08/23/2023","$23.13",4.2,"49","$13.86","106,356",5,"FBA",1,"Sports & Outdoors","Large standard","13.62 x 15.07 x 2.87 in","2.2 lb","https://www.amazon.com/dp/B0CZX85292?th=1&psc=1"
"B07BX5RLMH","Benevolence LA Authentic Handwoven Mexican Blanket | Yoga Blankets, Outdoor, Picnic, Beach, Camping | Equestrian Saddle | Serape 50x70 inches - Gray, Pack of 1","Benevolence LA","$20.29","3,593","127","$72,902","05/21/2017","$10.39",4.6,"23,994","$9.90","1,408",7,"FBA",1,"Sports & Outdoors","Large standard","10.787 x 13.583 x 4.606 in","2.16 lb","https://www.amazon.com/dp/B07BX5RLMH?th=1&psc=1"
"B0987L8X3J","Bikoney Yoga Mat Holder Wall Mount Yoga Mat Storage Home Gym Accessories with Wood Floating Shelves and 4 Hooks for Hanging Foam Roller and Resistance Bands Fitness Home Gym Carbonized Black","bikoney","$23.52","404","15","$9,502","06/28/2021","$15.35",4.6,"1,029","$8.17","18,551",7,"FBA",1,"Sports & Outdoors","Small standard","8.386 x 17.24 x 2.795 in","1 lb","https://www.amazon.com/dp/B0987L8X3J?th=1&psc=1"
"B0DT4KW2FL","RUNNING GIRL Sports Bra for Women High Support, Square Neck Strappy Molded Cup Running Sports Bras for Women","RUNNING GIRL","$23.99","1,061","28","$25,453","04/01/2025","$14.85",4.6,"25","$9.14","45,843",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","8.27 x 7.87 x 0.79 in","3.53 oz","https://www.amazon.com/dp/B0DT4KW2FL?th=1&psc=1"
"B0F22BJYK1","WIHOLL Women's Workout Tank Tops Sleeveless Athletic Racerback for Gym Yoga Running - Summer Fitness Tops Scoop Neck (S-XXL)","WIHOLL","$14.95","1,648","71","$24,638","04/25/2025","$8.48",4.6,"2","$6.47","16,888",8,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","11.5 x 10.2 x 0.65 in","4.8 oz","https://www.amazon.com/dp/B0F22BJYK1?th=1&psc=1"
"B0F387ZDPV","Stretching Strap with 10 Loops-Yoga Strap for Physical Therapy,Home Workout,Pilate & Flexibility Training,Non Elastic Exercise Stretch Band for Hamstring,Leg Stretcher Belt,Flexibility Fascia","Acozycoo","$16.99","40","","$679.60","03/31/2025","$12.67",4.7,"","$7.32","361,927",8,"FBA",1,"Sports & Outdoors","Small standard","7.8 x 0.4 x 11.8 in","0.485 lb","https://www.amazon.com/dp/B0F387ZDPV?th=1&psc=1"
"B0DLKW8F1Q","G4Free BareFeel Womens Workout Tops Short Sleeve Half Zip Slim Fit Athletic Shirts Gym Running Yoga Slight Crop Tshirts","","$26.99","","","","04/06/2025","",4.6,"","","",8,"",1,"","","","","https://www.amazon.com/dp/B0DLKW8F1Q?th=1&psc=1"
"B0F1SHV118","5 Pairs Grip Pilates Socks with Grip for Women, Solid Non Slip Yoga Athletic Socks Grippy Ankle for Barre, Ballet, Workout, Elderly, Hospital, Gifts","XiaoKJ","$14.44","30","1","$433.20","03/18/2025","$6.73",4.8,"7","$7.71","595,545",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","10.59 x 3.7 x 2.4 in","13.93 oz","https://www.amazon.com/dp/B0F1SHV118?th=1&psc=1"
"B0CP1ZLYRT","CRZ YOGA High Waisted Dolphin Athletic Running Shorts for Women 3' High Split Comfy Mesh Liner for Gym Workout Track","CRZ YOGA","$28.00","26,709","1,080","$747,852","04/18/2024","$17.82",4.5,"611","$10.18","113",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","7.8 x 9.13 x 2.28 in","0.26 lb","https://www.amazon.com/dp/B0CP1ZLYRT?th=1&psc=1"
"B0DQCRYC1V","Lenovo Yoga 7 7i 2-in-1 Laptop (16' FHD+ Touchscreen, AMD Ryzen 7 8840HS (Beat i7-1355U), 16GB RAM, 1TB SSD), AI PC, Backlit Keyboard, Fingerprint, FHD IR Webcam, WiFi 6E, Win 11 Home, Arctic Gray","ist computers","$799.99","138","6","$110,399","06/30/2024","$735.00",4,"19","$64.99","3,700",7,"FBM",2,"Computers & Accessories","Large standard","13 x 20.75 x 3.1 in","4.4 lb","https://www.amazon.com/dp/B0DQCRYC1V?th=1&psc=1"
"B07DCLKNHN","Tucketts Toeless Pilates Socks with Grips for Women, Non-Slip Yoga & Barre Socks for Stability & Barefoot Workouts, Size 5-13","Tucketts","$15.29","2,262","78","$34,586","05/22/2023","$8.95",4.3,"8,190","$6.34","15,082",7,"FBA",2,"Clothing, Shoes & Jewelry","Small standard","4.8 x 8.15 x 0.75 in","0.071 lb","https://www.amazon.com/dp/B07DCLKNHN?th=1&psc=1"
"B0C7Q2HS15","Grip Socks Women Pilates Yoga Socks Non Slip Barre Dance Hospital Running Cute Cotton Ankle Slipper Sock 3/4 Pairs","CHUNFO","$21.99","30","1","$659.70","06/12/2023","$13.55",3.9,"44","$8.44","647,338",10,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","5.276 x 8.858 x 1.85 in","0.32 lb","https://www.amazon.com/dp/B0C7Q2HS15?th=1&psc=1"
"B0D7V9PPMG","5-in-1 Foam Roller Set, Massage Roller Stick, Massage Ball, Resistance Band for Deep Muscle Massage, Trigger Point Release, Pilates, Yoga (Orange)","Krightlink","$34.99","536","16","$18,755","06/24/2024","$22.54",4.5,"103","$12.45","17,256",8,"FBA",1,"Sports & Outdoors","Large standard","5.3 x 5.31 x 13 in","2.6 lb","https://www.amazon.com/dp/B0D7V9PPMG?th=1&psc=1"
"B08DKJDTBH","Promover Wide Leg Pants Woman Yoga Pants with Pockets Stretch Loose Casual Lounge Sweatpants Petite/Regular/Tall","Promover","$35.99","18,644","584","$670,998","09/09/2023","$24.08",4.3,"12,359","$11.91","569",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","10.157 x 10.984 x 1.496 in","0.75 lb","https://www.amazon.com/dp/B08DKJDTBH?th=1&psc=1"
"B07Y9M8NN6","15-Minute Yoga Core 2.0 (Workout)","","","","","","07/30/2020","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B07Y9M8NN6?th=1&psc=1"
"B0F24GNMNH","CRZ YOGA Womens High Waisted Bikini Bottom Full Coverage Tummy Control Bathing Suit Wide Waistband Swimsuit Swim Briefs","CRZ YOGA","$26.00","1,335","49","$34,710","04/14/2025","$16.56",NA,"","$9.44","25,249",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","7.01 x 8.15 x 1.46 in","0.291 lb","https://www.amazon.com/dp/B0F24GNMNH?th=1&psc=1"
"B0D498LQH9","CRZ YOGA Secretsculpt Womens Butterlift High Waist Scrunch Butt Biker Shorts 4 Inches - No Front Seam Workout Gym Booty","CRZ YOGA","$26.00","12,392","408","$322,192","11/22/2024","$16.56",4.7,"114","$9.44","1,211",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","7.402 x 9.055 x 0.827 in","0.22 lb","https://www.amazon.com/dp/B0D498LQH9?th=1&psc=1"
"B07PTNTS3R","Gaiam Yoga Mat - Premium 6mm Print Extra Thick Non Slip Exercise & Fitness Mat for All Types of Yoga, Pilates & Floor Workouts (68'L x 24'W x 6mm Thick)","Gaiam","$17.97","6,419","243","$115,349","04/01/2019","$3.53",4.7,"21,351","$14.44","506",8,"AMZ",5,"Sports & Outdoors","Large bulky","4.5 x 4.5 x 24 in","1.46 kg","https://www.amazon.com/dp/B07PTNTS3R?th=1&psc=1"
"B08QGV722F","Replacement for 65W Lenovo Laptop Charger USB C ;Compatible with Lenovo ThinkPad T480s T580s T490 E480 E580 Chromebook C330 S330 100e 300e 500e,Yoga C930 C940 720 Power Supply Adapter Cord","DECSZDY","$11.97","10,741","272","$128,570","12/12/2020","$6.49",4.5,"512","$5.48","30",8,"FBA",1,"Computers & Accessories","Small standard","4.69 x 7.44 x 1.89 in","0.33 kg","https://www.amazon.com/dp/B08QGV722F?th=1&psc=1"
"B0DDPY9D8Z","Womens Wide Leg Yoga Pants Casual Work Dress Pants Lounge Sweatpants High Waist Comfy Loose Trousers with Pockets","DLOODA","$14.99","7,696","402","$115,363","05/04/2025","$12.47",4.4,"668","$7.52","1,247",8,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","10.67 x 11.42 x 0.67 in","0.75 lb","https://www.amazon.com/dp/B0DDPY9D8Z?th=1&psc=1"
"B0007VB4NE","Gaiam Classic Balance Ball Chair  Ergonomic Stability Chair for Desk & Office | Yoga Ball Seat with Base, Air Pump, & Exercise Guide | Improves Posture & Core Strength (300 lb Capacity)","gaiam","$59.99","2,051","55","$123,039","03/01/2005","$-6.31",4.2,"19,524","$66.30","4,336",10,"AMZ",5,"Sports & Outdoors","Extra-large","26.25 x 26.25 x 14.6 in","7.6 kg","https://www.amazon.com/dp/B0007VB4NE?th=1&psc=1"
"B01MY5MZSQ","Gaiam Print Yoga Mat, Non Slip Exercise & Fitness Mat for All Types of Yoga, Pilates & Floor Exercises","Gaiam","$16.98","6,928","239","$117,637","02/27/2017","$7.67",4.5,"11,362","$9.31","518",7,"AMZ",3,"Sports & Outdoors","Large standard","4.7 x 4.4 x 24.8 in","1.89 lb","https://www.amazon.com/dp/B01MY5MZSQ?th=1&psc=1"
"B091FXWSGJ","Retrospec Solana Yoga Mat 1/2' Thick w/Nylon Strap for Men & Women - Non Slip Exercise Mat for Yoga, Pilates, Stretching, Floor & Fitness Workouts","Retrospec","$24.99","13,296","427","$332,267","03/30/2021","$13.63",4.4,"6,713","$11.36","178",8,"AMZ",3,"Sports & Outdoors","Large standard","7.25 x 25 x 7.25 in","3 lb","https://www.amazon.com/dp/B091FXWSGJ?th=1&psc=1"
"B0CPXKR8M8","CRZ YOGA High Waisted Golf Skirts for Women A Line Tennis Athletic Casual Skort with Inner Shorts Pockets","CRZ YOGA","$32.00","14,253","435","$456,096","02/25/2024","$21.22",4.5,"315","$10.78","1,065",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","8.74 x 9.57 x 1.61 in","0.441 lb","https://www.amazon.com/dp/B0CPXKR8M8?th=1&psc=1"
"B0DHQR99PS","Deep-Zen Yoga Blocks Wrist Support; Yoga Blocks 2 Pack with Knee Pads and Strap to Put Less Weight on Wrists; Durable, Versatile Yoga Brick Exercise Block Set, Blocks Yoga","Deep-Zen","$37.99","528","13","$20,059","09/21/2024","$25.52",4.7,"99","$14.47","20,861",7,"FBA",1,"Sports & Outdoors","Large standard","9.37 x 11.93 x 5.67 in","1.98 lb","https://www.amazon.com/dp/B0DHQR99PS?th=1&psc=1"
"B0C4H4FLR7","Stretching Strap Yoga Strap with Loops, Stretch Straps for Physical Therapy, Non-Elastic Exercise Strap for Pilates, Dance and Gymnastics with Workout Guide","Oak-Sports","$5.66","9,132","304","$51,687","05/05/2023","$1.08",4.7,"2,411","$4.78","341",7,"FBA",1,"Sports & Outdoors","Large standard","3.031 x 5.236 x 1.26 in","0.132 lb","https://www.amazon.com/dp/B0C4H4FLR7?th=1&psc=1"
"B0DJ3G371F","Chair Yoga for Seniors & Beginners + Band. 30+ Yoga Poses suitable for all levels beginner chair yoga for seniors over 60 DVD for weight loss chair yoga for weight loss chair exercises for seniors DVD","Vitality 4 Life with Curtis Adams","$19.99","","","","09/27/2024","$12.76",4.4,"","$7.23","635",5,"FBA",1,"Movies & TV","Small standard","8 x 0.5 x 5 in","5 oz","https://www.amazon.com/dp/B0DJ3G371F?th=1&psc=1"
"B0CSDKQGBY","12-Pack Value Yoga Mat, 68' x 24' Non Slip Exercise Mat, 3.5mm Thick Gym Mat, Bulk Non Toxic Yoga Mats for Home Workout and Studios","UPWARD FIT","$104.49","98","3","$10,240","01/14/2024","$92.50",4.2,"14","$17.49","70,144",8,"FBM",1,"Sports & Outdoors","Large bulky","14.4 x 24.7 x 11.5 in","25.201 lb","https://www.amazon.com/dp/B0CSDKQGBY?th=1&psc=1"
"B0CJ29TFRH","Grip Pilates Socks Non Slip Athletic Yoga Socks with Grips for Women Grippy socks for Hospital Workout Barre","loudashuaiqi","$5.99","5,338","171","$31,975","12/09/2023","$1.63",4.6,"1,305","$4.36","5,262",7,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","7.91 x 10.28 x 0.59 in","0.331 lb","https://www.amazon.com/dp/B0CJ29TFRH?th=1&psc=1"
"B0CKVSQSR5","Lenovo Yoga 7 14 2-in-1 AI PC Laptop 14' WUXGA IPS Touch (Glossy) Intel 12-core Ultra 5 125U Processor (Beats i7-1335U) 16GB RAM 512GB SSD Backlit Fingerprint Thunderbolt4 Win11 Gray + HDMI Cable","Lenovo","$755.00","49","2","$36,995","10/10/2023","$693.61",4.4,"52","$61.39","8,662",8,"FBM",5,"Computers & Accessories","Large standard","14 x 20 x 3 in","3.6 lb","https://www.amazon.com/dp/B0CKVSQSR5?th=1&psc=1"
"1582972427","The Yoga Bible","Krause Publications","$12.69","","","","12/23/2005","$4.43",4.6,"2,774","$8.26","22,056",1,"AMZ",79,"Books","Large standard","5.6 x 1 x 6.6 in","1.34 lb","https://www.amazon.com/dp/1582972427?th=1&psc=1"
"B08H4WXMM8","Go with YoYo! Exercise, Yoga and Mindfulness for Kids","","","","","","09/16/2020","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B08H4WXMM8?th=1&psc=1"
"B0CL9LQK13","YoYoga!","","","","","","01/29/2024","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B0CL9LQK13?th=1&psc=1"
"B079PJ3HX6","15-Minute Yoga Core 1.0 Workout","","","","","","07/30/2020","",NA,"1","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B079PJ3HX6?th=1&psc=1"
"B00LSWNDWG","Yoga: Gentle Vinyasa Flow - 60 min with Zyrka Landwijt","","","","","","07/10/2014","$5.21",NA,"11","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B00LSWNDWG?th=1&psc=1"
"B0C2LK9KXH","CHAIR YOGA FOR SENIORS DVD + Poster + Bonus Yoga DVD. Strength- Energize- Healing- Relieve Stress. Chair yoga DVD for beginners. Yoga chair exercises for seniors DVD. Yoga videos for beginners DVD.","Vitality 4 Life with Curtis Adams","$19.99","","","","04/13/2023","$12.85",4.2,"542","$7.14","439",6,"FBA",1,"Movies & TV","Small standard","7 x 5 x 0.25 in","4 oz","https://www.amazon.com/dp/B0C2LK9KXH?th=1&psc=1"
"B07P89X2CB","COLOSSEUM Active Women's Simone Cotton Blend Yoga and Running Short","COLOSSEUM","$14.99","13,322","419","$199,697","11/11/2022","$6.38",4.6,"40,719","$8.61","1,146",5,"FBA",2,"Clothing, Shoes & Jewelry","Large standard","8.82 x 11.02 x 1.34 in","0.351 lb","https://www.amazon.com/dp/B07P89X2CB?th=1&psc=1"
"B01IZDFWKQ","All Purpose 1/4-Inch High Density Anti-Tear Exercise Yoga Mat with Carrying Strap, Multiple Colors","Fitvids","$14.99","6,069","170","$90,974","07/23/2016","$6.38",4.4,"46,285","$8.61","905",5,"AMZ",5,"Sports & Outdoors","Large standard","4.5 x 24 x 4.5 in","1.5 lb","https://www.amazon.com/dp/B01IZDFWKQ?th=1&psc=1"
"B07DK9QZV9","Trideer Extra Thick Yoga Ball Exercise Ball, 5 Sizes Gym Ball, Heavy Duty Ball Chair for Balance, Stability, Pregnancy, Quick Pump Included","Trideer","$16.14","20,012","669","$322,994","05/30/2016","$6.86",4.5,"37,056","$9.28","68",7,"FBA",2,"Sports & Outdoors","Large standard","6.85 x 5.5 x 10 in","2.2 lb","https://www.amazon.com/dp/B07DK9QZV9?th=1&psc=1"
"B0CKJ9HQY2","Lenovo ThinkPad X1 Yoga (Gen 6) 14' 2-in-1 Convertible Laptop, i7 1185G7 3.0Ghz, 16GB RAM, 1TB NVMe SSD, 1920 x 1200, Thunderbolt 4, Windows 11 Pro (Renewed)","Lenovo","$679.99","18","1","$12,240","10/04/2023","$624.60",NA,"","$55.39","26,468",8,"FBM",2,"Computers & Accessories","Large standard","14 x 5 x 18 in","3 lb","https://www.amazon.com/dp/B0CKJ9HQY2?th=1&psc=1"
"B0B2ZL6PYZ","CRZ YOGA Womens Butterluxe Biker Shorts 4'' - High Waisted Booty Workout Volleyball Yoga Spandex","CRZ YOGA","$24.00","13,749","559","$329,976","06/23/2024","$14.42",4.7,"1,338","$9.58","628",5,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","8.5 x 9.06 x 1.46 in","0.201 lb","https://www.amazon.com/dp/B0B2ZL6PYZ?th=1&psc=1"
"B0CPQ25G7L","Just Play furReal Daisy The Yoga Goat Interactive Toy, 11-inch Realistic Plush, Kids Toys for Ages 4 Up","Just Play","$27.49","1,252","47","$34,417","07/24/2024","$13.54",4.5,"690","$13.95","6,014",8,"AMZ",28,"Toys & Games","Large standard","12 x 8 x 13 in","2.23 lb","https://www.amazon.com/dp/B0CPQ25G7L?th=1&psc=1"
"B07JQCVBBZ","Yoga Mat Non Slip, Eco Friendly Fitness Exercise Mat with Carrying Strap,Pro Yoga Mats for Women,Workout Mats for Home, Pilates and Floor Exercises","Gruper","$28.99","9,275","343","$268,882","02/13/2020","$18.13",4.5,"8,598","$10.86","273",8,"AMZ",4,"Sports & Outdoors","Large standard","5 x 25 x 5 in","0.75 kg","https://www.amazon.com/dp/B07JQCVBBZ?th=1&psc=1"
"B0D2XFW1M7","CRZ YOGA Cloudweight Crew Neck Workout Tanks Lightweight Athletic Gym Tops for Women Soft Basic Running Sleeveless Shirts","CRZ YOGA","$20.00","2,565","73","$51,300","04/27/2025","$11.46",5,"","$8.54","16,120",7,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","6.97 x 9.61 x 1.3 in","0.22 lb","https://www.amazon.com/dp/B0D2XFW1M7?th=1&psc=1"
