"ASIN","Product.Name","Brand","Price","Monthly.Units.Sold","Daily.Units.Sold","Monthly.Revenue","Date.First.Available","Net.Revenue","Star.Rating","Reviews","Amazon.Fees","BSR","LQS","Seller.Type","Sellers","Category","Product.Tier","Dimensions","Weight","Link"
"B0D9PJ3TR7","Foldable Multi-Purpose Fitness & Yoga/Pilates Mat, Workout Mat with Non-Slip Surface, Portable & Lightweight, For Studio or Home Use, As Seen on Shark Tank","Stakt","$88.00","1,041","43","$91,608","07/17/2024","$61.92",4.2,"143","$26.08","5,809",8,"FBA",2,"Sports & Outdoors","Large bulky","12 x 24.5 x 3.3 in","3.651 lb","https://www.amazon.com/dp/B0D9PJ3TR7?th=1&psc=1"
"B0CN32WXG8","Manduka GRP Adapt Hot Yoga Mat - For Women and Men, Durable, Non Slip Grip, Sweat Resistant","Manduka","$90.16","697","25","$62,842","11/09/2023","$68.09",4.6,"295","$22.07","10,738",6,"FBA",7,"Sports & Outdoors","Large standard","4.6 x 4.2 x 25.8 in","5 lb","https://www.amazon.com/dp/B0CN32WXG8?th=1&psc=1"
"B07B9K3LRY","Les Mills MBX MAT Dual Sided Exercise Mat For Yoga and Dynamic Exercise Training At Home and Gym Use","Les Mills","$104.99","15","1","$1,575","03/06/2018","$80.69",4.4,"24","$24.30","213,214",7,"FBA",2,"Sports & Outdoors","Large standard","4.488 x 24.409 x 4.331 in","2.2 kg","https://www.amazon.com/dp/B07B9K3LRY?th=1&psc=1"
"B071LN6Y9K","AIREX Corona 200 Premium Exercise Mat for Yoga, Physical Therapy, Rehabilitation, Balance & Stability Exercises, Pilates, Aerobics 78' x 39', Charcoal","AIREX","$168.29","53","1","$8,919","01/27/2017","$142.06",4.4,"101","$26.23","239,137",7,"FBM",1,"Sports & Outdoors","Extra-large","39 x 0.6 x 78 in","2.2 lb","https://www.amazon.com/dp/B071LN6Y9K?th=1&psc=1"
"B0030DBFB2","Resistance Bands Workout Set, Fitness Bands for Strength Exercise, Gym or Home Workouts, Kit Includes 2 Soft Handles and 2 Resistance Bands","BODi","$14.95","41","1","$612.95","03/07/2009","$8.07",4.6,"182","$6.88","162,016",7,"FBA",1,"Sports & Outdoors","Small standard","8.98 x 10.28 x 4.61 in","1 lb","https://www.amazon.com/dp/B0030DBFB2?th=1&psc=1"
"B07LBBLKRT","30 Day Yoga For Weight Loss with Julia Marie","","","","","","02/27/2020","",NA,"","$3.58","",0,"",1,"","Small standard","","","https://www.amazon.com/dp/B07LBBLKRT?th=1&psc=1"
"B0D7NVS6RV","Lenovo Yoga 7i 2-in-1 Laptop, 16' 2K Touchscreen Display, Core Ultra 7 155U (Up to 4.80 GHz), 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Backlit KB, FP Reader, TB 4, Webcam, Keypad, PDG HDMI, Win 11 Pro","Lenovo","$883.00","250","10","$220,750","06/19/2024","$811.37",4.2,"39","$71.63","2,206",6,"FBM",16,"Computers & Accessories","Large standard","12.8 x 20.7 x 3.1 in","4.6 lb","https://www.amazon.com/dp/B0D7NVS6RV?th=1&psc=1"
"B0DTGN9JJM","Womens Y Back Padded Sports Bra Strappy U Neck Butter Soft Low Impact Workout Bras Yoga Pilates Walking","Omwilddo","$26.00","774","25","$20,124","01/19/2025","$15.34",4.7,"9","$10.66","51,043",8,"FBA",1,"Clothing, Shoes & Jewelry","Large standard","10.16 x 12.36 x 1.81 in","0.24 lb","https://www.amazon.com/dp/B0DTGN9JJM?th=1&psc=1"
"B0DLKT4R7X","G4Free BareFeel Womens Workout Tops Short Sleeve Half Zip Slim Fit Athletic Shirts Gym Running Yoga Slight Crop Tshirts","","$26.99","","","","04/06/2025","",4.6,"","","",8,"",1,"","","","","https://www.amazon.com/dp/B0DLKT4R7X?th=1&psc=1"
"B0F22D9FS4","WIHOLL Women's Workout Tank Tops Sleeveless Athletic Racerback for Gym Yoga Running - Summer Fitness Tops Scoop Neck (S-XXL)","WIHOLL","$8.95","1,828","71","$16,361","04/25/2025","$4.15",4.6,"","$4.80","16,823",8,"FBA",1,"Clothing, Shoes & Jewelry","Small standard","11.5 x 10.2 x 0.65 in","4.8 oz","https://www.amazon.com/dp/B0F22D9FS4?th=1&psc=1"
