"Words","Count"
"athletic","19"
"butterlift","19"
"buttery","19"
"crz","19"
"gym","19"
"high","19"
"leggings","19"
"pants","19"
"pilates","19"
"soft","19"
"waisted","19"
"womens","19"
"workout","19"
"yoga","38"
